id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
40482,3.02,宁波诺丁汉大学,波士顿大学,,323,,
40452,3,北京大学,波士顿大学,,314,,93
40369,3.28,苏州大学,波士顿大学,700,,,78
40271,3.61,中山大学,波士顿大学,,321,,102
39882,3.89,武汉大学,波士顿大学,,329,,110
39873,2.38,北京大学,波士顿大学,,313,,82
39871,3.29,吉林大学,波士顿大学,,318,,101
39727,3.5,某国际学校,波士顿大学,,,,82
39715,2.8,华中科技大学,波士顿大学,,326,,107
39696,3.53,中国人民大学,波士顿大学,710,,,101
39693,3.4,北京师范大学,波士顿大学,,,,97
39617,2.7,重庆大学,波士顿大学,,317,,100
39610,3.2,中央名族大学,波士顿大学,,315,,100
39567,3.3,中国政法大学,波士顿大学,,,,90
39536,3.2,中国青年政治学院,波士顿大学,,323,,102
39514,3.4,中国海洋大学,波士顿大学,650,,,83
39513,3.6,中国海洋大学,波士顿大学,710,,,99
39507,3.6,中国传媒大学,波士顿大学,,323,,108
39327,3.6,香港浸会大学,波士顿大学,,319,7.5,
39161,3.2,天津大学,波士顿大学,,324,,102
39048,3.3,深圳大学,波士顿大学,,318,,98
38958,3.7,山东大学,波士顿大学,,311,,93
38890,3.3,青岛大学,波士顿大学,,329,,103
38800,3.4,南京大学,波士顿大学,,327,,113
38756,3.1,曼彻斯特大学,波士顿大学,,314,,
38598,3.5,吉林财经大学,波士顿大学,,325,,104
38586,3.5,华中农业大学,波士顿大学,,319,,101
38573,3.2,华中科技大学,波士顿大学,740,,,104
38539,3.6,华东理工大学,波士顿大学,,320,,100
38538,3.3,华东科技大学,波士顿大学,,313,,84
38477,3.4,河南大学,波士顿大学,,318,,104
38457,2.9,河北科技大学,波士顿大学,,321,,98
38204,3.5,电子科技大学,波士顿大学,,315,,103
38070,3.5,北京师范大学,波士顿大学,,326,,109
37846,3.6,南京工业大学,波士顿大学,,,,97
37803,3.6,南京工业大学,波士顿大学,,,,97
37268,3.6,浙江大学,波士顿大学,,,,105
37205,4,西交利物浦大学,波士顿大学,,314,,94
37043,3.27,普渡大学,波士顿大学,,302,,
37041,3.37,宁波诺丁汉大学,波士顿大学,,311,7,
36988,3.3,湖南大学,波士顿大学,640,,,86
56053,3.9,浙江大学+UniversityofNebraska-Lincoln(UNL),波士顿大学,,,,
56048,3,上海外国语大学,波士顿大学,,300,,
56040,3.8,北京航空航天大学,波士顿大学,,325,,100
56004,3.7,中国传媒大学,波士顿大学,,320,,
55995,3.5,UniversityofIllinois--Urbana-Champaign,波士顿大学,,,,
55976,3.25,加州大学戴维斯分校,波士顿大学,,,,
55960,4,深圳大学,波士顿大学,,325,,120
55940,3,UniversityofMassachusetts--Amherst,波士顿大学,,300,,
55916,3.5,中央财经大学,波士顿大学,,,,
55903,3.5,复旦大学,波士顿大学,,320,,100
36949,3.2,西安外国语大学,波士顿大学,,315,,99
36913,3.47,东北大学秦皇岛分校,波士顿大学,,323,,93
36876,3.8,天津财经大学,波士顿大学,610,,,88
36858,3.9,中山大学,波士顿大学,,319,,104
36827,3.25,南开大学,波士顿大学,,,,100
36813,3.41,波士顿大学,波士顿大学,,314,,
36752,3.4,浙江大学,波士顿大学,,321,,100
36696,3.18,天津大学,波士顿大学,,320,,99
36610,3.5,东北大学,波士顿大学,,,,99
36596,3.64,东华大学,波士顿大学,,317,,101
36577,3.65,四川大学,波士顿大学,,325,,103
36570,3.4,天津科技大学,波士顿大学,,323,,103
36534,3.4,福州大学,波士顿大学,750,,,104
36407,3.9,中山大学,波士顿大学,,320,,104
36406,3.3,上海交通大学,波士顿大学,,321,,101
36323,3.7,南通大学,波士顿大学,,326,,109
36297,3.5,宾州州立大学帕克分校,波士顿大学,,318,,
36296,3.7,电子科技大学,波士顿大学,720,,,108
36289,2.4,华中科技大学,波士顿大学,,306,,89
36288,3.5,北京师范大学,波士顿大学,,310,,92
36202,3.42,复旦大学,波士顿大学,,321,,109
36201,3.6,武汉大学,波士顿大学,,321,,105
36199,3.65,武汉大学,波士顿大学,,322,,105
36155,3.51,纽约州立大学奥尔巴尼分校,波士顿大学,,327,,
36114,3.3,复旦大学,波士顿大学,,,,99
36091,3.89,武汉大学,波士顿大学,,,,110
36067,3.07,南京大学,波士顿大学,,,,99
36058,3.5,南京信息工程大学,波士顿大学,,,,89
36023,3.4,南京农业大学,波士顿大学,,,,100
36007,3.71,南京信息工程大学,波士顿大学,,,5.5,
35984,3.78,南京理工大学,波士顿大学,,,7,
35983,3.7,南京艺术学院,波士顿大学,,,6,
35982,3.3,江南大学,波士顿大学,,,,101
35972,3.71,南京信息工程大学,波士顿大学,,,,95
35969,3.4,南京工业大学,波士顿大学,,,,94
35958,3.4,东华大学,波士顿大学,,,,101
35957,3.5,东华大学,波士顿大学,,,,103
35891,3.5,河北工业大学,波士顿大学,,317,,97
35851,3.8,东北师范大学,波士顿大学,,322,,
35827,3.6,深圳大学,波士顿大学,,313,,96
35814,4,美国本科,波士顿大学,,322,,
35813,3.9,北京师范大学,波士顿大学,,324,,106
35805,3.4,四川大学,波士顿大学,760,,,115
35795,3.5,四川师范大学,波士顿大学,,316,,93
35793,3.4,中央财经大学,波士顿大学,,310,,96
35789,3.2,上海大学,波士顿大学,,313,,98
35787,3.8,北京林业大学,波士顿大学,,326,,104
35783,3.3,美国本科,波士顿大学,,328,,
35779,3.7,首都师范大学,波士顿大学,,322,,95
35778,3.3,天津大学,波士顿大学,,323,,100
